lead time,crps_ss,crps,mae_median,mae_mean,bias,bias_median,relative_bias_5,Brier95,Brier99,Brier995,alpha
0,-0.27980608,1.3934397,1.5772179,1.6407801,-0.067991145,-0.20045687,0.15613079,0.054004084,0.013535247,0.0064399014,0.08302608
1,-0.060094193,1.223251,1.436918,1.5417564,-0.1600903,-0.3893973,0.13126598,0.045807693,0.008642015,0.0037707845,0.11845981
2,-0.035143033,1.020363,1.2299542,1.375908,-0.08142474,-0.41417915,0.12537684,0.037438154,0.0047664223,0.0018391237,0.14896956
3,-0.020810623,0.9192581,1.1337712,1.3189961,0.01739354,-0.42149484,0.1516967,0.032225683,0.004775476,0.0017623034,0.16567366
4,0.009716074,0.9263799,1.0909215,1.390214,0.056174558,-0.49023432,0.16747952,0.031734247,0.0050660726,0.002266053,0.1836379
5,0.01547521,1.0065743,1.1645638,1.56751,0.0904758,-0.59209216,0.19867331,0.033226863,0.006689083,0.0033177158,0.2013431
6,-0.020926049,1.0089842,1.1496593,1.6315751,0.19593155,-0.6145272,0.22653402,0.0348673,0.0065195803,0.0034363586,0.21494609
7,-0.056012474,1.038364,1.1482216,1.7217919,0.21512185,-0.71742177,0.24101292,0.03848846,0.0066714818,0.003343404,0.22636877
8,-0.046800505,0.9882197,1.0843364,1.6328455,0.15283737,-0.7697288,0.22176325,0.039535098,0.006053007,0.0027533257,0.23664318
9,-0.038449492,1.0893693,1.1874601,1.7781031,0.065913,-0.9731034,0.23024783,0.042497728,0.0076782345,0.0036793589,0.24233991
10,-0.051340487,1.1433423,1.2384692,1.8404988,0.010023452,-1.0389344,0.23546264,0.043107487,0.00815873,0.0038838605,0.26009244
11,-0.10029782,1.0723901,1.0875906,1.8383894,0.20772205,-0.88354903,0.2711052,0.03749758,0.0075760353,0.0037046412,0.26188937
12,-0.1098988,0.9744647,1.0159056,1.7115126,0.26558062,-0.76636726,0.26907542,0.032645296,0.006454259,0.0029621923,0.26324046
13,-0.1166157,0.91702366,0.93546754,1.6712002,0.34090194,-0.685613,0.27729386,0.032140017,0.005533472,0.0024069578,0.26251203
14,-0.10852638,1.1047173,1.1028823,1.8962754,0.20348962,-0.8786203,0.2802969,0.040943656,0.009224927,0.0040784725,0.25844195
15,-0.08231122,1.1381382,1.1695335,1.8882192,0.112443306,-0.9618401,0.25370884,0.042003363,0.008809901,0.0038888175,0.2551916
16,-0.092235394,1.2138529,1.2584523,1.9629083,0.046728756,-1.0372146,0.25296998,0.04414988,0.009266669,0.004045383,0.25751922
17,-0.10920963,1.0353996,1.0941913,1.8396392,0.31122735,-0.83643675,0.28380734,0.03636963,0.005203218,0.0019862293,0.26156446
18,-0.15254757,0.9604081,0.99093443,1.8546121,0.5580549,-0.70140916,0.33374333,0.03382517,0.0050251167,0.0018905427,0.2663005
19,-0.15613629,1.0009124,1.021264,1.9046282,0.5489482,-0.7196536,0.33824965,0.035660602,0.0051924624,0.0018440533,0.2652277
20,-0.12945321,1.1277204,1.1474866,2.04497,0.44831187,-0.8244488,0.33898458,0.03826337,0.0066518616,0.003292407,0.26415962
21,-0.0912476,1.3334563,1.3445647,2.2332838,0.13951874,-1.1110591,0.3146367,0.044528406,0.011353991,0.0065250555,0.26837152
22,-0.077064954,1.392335,1.4393271,2.2493997,0.03272301,-1.2254181,0.29713368,0.048378013,0.012707232,0.007561916,0.2678779
23,-0.081927486,1.2858781,1.3341552,2.0862467,0.060848907,-1.1398395,0.27798826,0.049019657,0.01030332,0.005383893,0.26416013
24,-0.124134704,1.1965021,1.2395544,2.014101,0.14352003,-1.0101807,0.2808551,0.047351245,0.0073308544,0.003344012,0.26706305
25,-0.086769275,1.0280623,1.0603634,1.7446679,0.10120881,-0.9148975,0.23610362,0.04012783,0.005836876,0.0023756337,0.2667599
26,-0.09083187,1.0308943,1.0443609,1.7634474,0.14545496,-0.8696956,0.25267428,0.03733578,0.006484561,0.0028647445,0.2698853
27,-0.10950839,1.0176655,1.024745,1.8178048,0.26810694,-0.8345685,0.28316182,0.035888642,0.006604991,0.0028463511,0.26994488
28,-0.10551663,1.054515,1.0454135,1.846049,0.23461705,-0.8735531,0.28367278,0.038142834,0.0068973363,0.003084442,0.2726523
29,-0.051003993,1.0623626,1.0813537,1.7892904,0.13263178,-0.9194727,0.2549881,0.040139366,0.0092215035,0.0040502925,0.27002367
30,-0.08812491,1.1414852,1.1718662,1.897307,0.120187484,-0.9650395,0.2620796,0.04236251,0.008963187,0.0039702933,0.2707717
31,-0.08556754,1.1813929,1.221792,1.96525,0.09311091,-1.0424747,0.26277053,0.042605616,0.008749403,0.003648624,0.2694118
32,-0.06843106,1.0582035,1.1064352,1.7699627,0.08655646,-0.9817608,0.23537324,0.036587115,0.0054893536,0.0020617733,0.26488084
33,-0.087238505,1.1134197,1.174638,1.8314712,0.06237245,-1.0287381,0.24549818,0.037459146,0.0066335383,0.0031407324,0.2638127
34,-0.078057885,1.1009924,1.1612359,1.7996565,0.05343748,-0.97833276,0.24099053,0.036608823,0.0068193246,0.0030081328,0.26841885
35,-0.050729737,1.1233355,1.1700975,1.8292168,0.043341164,-1.0077266,0.24178371,0.038433984,0.007211073,0.0036653953,0.26535147
36,-0.007967416,1.2963547,1.3771504,1.9410623,-0.27111432,-1.2282346,0.20388876,0.042939823,0.010891618,0.006334526,0.25877574
37,-0.02519188,1.3684783,1.4152784,2.0336566,-0.31430966,-1.2738826,0.20949225,0.047501344,0.012369508,0.0075936695,0.2551034
38,-0.0931023,1.3003467,1.307787,2.0477507,-0.07953194,-1.1557151,0.2520875,0.047926694,0.011511866,0.0065404763,0.26256248
39,-0.08461131,1.1297982,1.1694123,1.8468305,0.0068793087,-1.0308776,0.23674636,0.045120906,0.0076289447,0.0034519136,0.26596922
40,-0.11573142,1.0562662,1.0747877,1.8247224,0.18298115,-0.9139107,0.26507193,0.04281431,0.0063478025,0.0026004615,0.27245358
41,-0.120291896,1.0693219,1.0824715,1.8838009,0.24169001,-0.91194296,0.2852182,0.0407547,0.0063601662,0.0027588862,0.27341908
